street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Calle de Los Correctores,43.5323295,-5.6587064,29,29,318,318,1,False
Camin del Hospital,43.458737,-5.7560442,100,100,636,636,1,False
Camín de Suañe,43.49506,-5.727902,102,102,640,640,1,False
Camín del Molín de Castro,43.5228582,-5.6339277,64,64,42,42,1,False
Calle Tránsito Campo Valdés,43.5455783,-5.6613337,29,29,169,169,1,False
Camino de Los Pinos,43.5405636,-5.6249893,49,49,463,463,1,False
Camino de Los Narcisos,43.535899,-5.6186703,45,45,540,540,1,False
Camín de la Rionda,43.4795803,-5.7446094,69,69,16,16,1,False
Camín de los Llanos,43.4775936,-5.6952618,53,53,1368,1368,1,False
Calle Daniel Palacio Fernández,43.5273513,-5.650578,108,108,63,63,1,False
Camino de la Colina del Cuervo,43.5514948,-5.6153588,50,50,458,458,1,False
Plaza del Gedo,43.5253031,-5.6685766,29,29,137,137,1,False
Camín de La Vega,43.4952867,-5.6780807,46,46,222,222,1,False
Palacio de Deportes,43.5357295,-5.6330599,45,45,540,540,1,False
Calle Domingo García de la Fuente,43.5359327,-5.6619254,26,35,522,388,0.995708,False
Avenida de Pablo Iglesias,43.5355182,-5.6531663,26,35,522,388,0.995708,False
Calle Santín,43.5285524,-5.677893,21,27,37,29,1,False
Camín de La Braña a la Ctra. del Obispo,43.5130969,-5.6759604,113,113,128,128,1,False
Eria de Valles,43.5169966,-5.6754721,48,48,971,971,1,False
Cuesta'l Manzanu,43.5058044,-5.7081975,53,53,29,29,1,False
Caleya de Ería Sala,43.5027288,-5.6182496,41,41,683,683,1,False
Intra,43.5523882,-5.7023506,42,42,462,462,1,False
Calle Libertad,43.540744,-5.6643223,29,29,169,169,1,False
El Paséu de Mel,43.531795,-5.7002438,54,54,1118,1118,1,False
Calle Farenheit,43.5103462,-5.6825512,113,113,128,128,1,False
Residencia El Carmen,25.8560618,-100.3153732,108,108,206,206,1,False
Calle San Juan de la Cruz,43.5349608,-5.6668316,31,31,359,359,1,False
Calle Orellana,43.5389549,-5.7060511,19,25,503,382,0.945107,False
Camin del Monte Serin,43.4750111,-5.7010699,53,53,1368,1368,1,False
A-8 salida 328,43.5157251,-5.6894788,113,113,128,128,1,False
Camín de Llorio,43.4934802,-5.6711344,49,49,209,209,1,False
Calle Fernando El Santo,43.5324883,-5.6438897,27,35,503,388,0.995123,False
Acceso Sur a Gijón,43.537807,-5.6959139,19,25,503,382,0.945107,False
Calle Concejo de Somiedo,43.5233543,-5.6474067,108,108,63,63,1,False
Camino de la Frontera,43.5267333,-5.6037046,36,36,347,347,1,False
Calle Diario El Comercio,43.5388095,-5.6732865,28,28,263,263,1,False
Camín de La Roza a Culumbiellos,43.4709693,-5.7029426,115,115,300,300,1,False
Camín de La Nisal,43.4795803,-5.7446094,69,69,16,16,1,False
Parking Fomento,43.5417262,-5.6693124,29,29,169,169,1,False
Calle Leonardo Torres Quevedo,43.5061107,-5.6897936,100,100,636,636,1,False
Calle Bazán,43.5320456,-5.6982785,54,54,1118,1118,1,False
Barrio Empalme-Pervera,43.5544242,-5.7338318,73,73,663,663,1,False
Travesía de La Ería,43.5140175,-5.6284848,104,104,589,589,1,False
Camino de la Eria de Polia,43.5455948,-5.7048142,42,42,462,462,1,False
Carretera Luanco - Veriña,43.5495095,-5.7302875,74,74,668,668,1,False
Camín de Aroles a Los Villares,43.4863897,-5.642533,36,36,914,914,1,False
Travesía 3 de Isidoro Acevedo,43.5465808,-5.7053885,73,73,663,663,1,False
Calle Jenaro Suárez Prendes,43.5096603,-5.6748894,48,48,971,971,1,False
Camin del Rubin,43.458737,-5.7560442,100,100,636,636,1,False
Camín de Tremes,43.4850737,-5.6199934,49,49,1450,1450,1,False
Junta del Puerto,37.3381278,-5.9982784,61,69,602,532,0.986222,False
Urbanización Navalón,43.5447245,-5.6249977,49,49,463,463,1,False
Industrias,43.5369801,-5.6745511,35,35,231,231,1,False
Autovía del Cantábrico,43.5317665,-5.682925,87,87,51,51,1,False
Camín de la Canterona,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Gabriela Mistral,43.5405376,-5.6979116,42,42,462,462,1,False
Concejo de Allande,43.5431784,-5.7074431,19,25,503,382,0.938263,False
Calle La Tecnologia,43.5303681,-5.7156552,54,54,1118,1118,1,False
Padrino restaurante italiano,44.4338001,8.871487,42,42,173,173,1,False
Calle Manuel Vigil Montoto,43.5368518,-5.7152283,46,46,56,56,1,False
Ciudadela de Celestino Solar,43.5384435,-5.6585332,16,22,447,325,0.954415,False
Centro de Salud de Pumarín,16.724027,-98.3714073,40,40,1957,1957,1,False
Calle Palacio Valdés,43.5393323,-5.666111,16,22,447,325,0.954415,False
"Calle Constantino Suárez ""El Españolito""",43.5289534,-5.6425418,35,35,183,183,1,False
Calle Francisco Martínez Marina,43.5430445,-5.6624454,49,49,463,463,1,False
Jenaro Suárez P.,43.5096603,-5.6748894,48,48,971,971,1,False
Calle Mecánicos,43.5180049,-5.6838583,31,31,359,359,1,False
Camin antiguu de Pion,43.5362063,-5.7300518,74,74,668,668,1,False
Calle Nava,43.5387337,-5.6710886,28,28,263,263,1,False
Calle Colegiata,43.5456707,-5.6639786,16,22,447,325,0.954415,False
Travesía de los Castaños,43.5414331,-5.6090534,44,44,552,552,1,False
Calle Los Andes,43.5376334,-5.6965664,19,25,503,382,0.938263,False
