street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Calle Doctor Graíño,43.5565915,-5.9258429,21,25,386,325,0.984917,False
Calle Concejo de Colunga,43.5250673,-5.6506445,28,28,258,258,1,False
Camino de la Fuente del Moro,37.4440031,-5.3877851,71,71,288,288,1,False
O-14,43.5156287,-5.6877348,36,36,314,314,1,False
Senda Verde Oviedo-Fuso de la Reina,43.3070864,-5.9866051,62,62,1411,1411,1,False
Avenida del Lauredal,43.5438124,-5.704696,42,42,462,462,1,False
Valencia,43.5278669,-5.6700791,18,25,221,159,0.912388,False
Calle Camino de los Solises,43.530076,-5.6975231,54,54,1118,1118,1,False
Paseo Juan Ignacio Ruiz de la Peña,36.6996261,-6.1313267,48,48,544,544,1,False
Carretera a Feleches,43.4706353,-5.724518,62,62,840,840,1,False
Camino de la Mina de Los Areneros,43.5516429,-5.7087335,20,25,477,382,0.974985,False
Plaza de Emilio Casares,43.3678864,-5.8468857,18,26,1189,823,0.991574,False
Enlace AS-381,43.4940717,-5.7172388,50,50,25,25,1,False
Calle Puebla de Gozón,43.6134942,-5.7929368,32,32,226,226,1,False
Calle El Mercáu,43.5602918,-5.7055466,42,42,462,462,1,False
Calle Sabino Alonso Fueyo,43.3157923,-5.7086568,97,97,77,77,1,False
A-64,41.6608745,-4.7500786,35,35,425,425,1,False
Calle Ramón Villa Piquero,43.3843506,-5.7038196,63,63,223,223,1,False
Río Cares,43.5195501,-5.6657303,48,48,1664,1664,1,False
Área recreativa La Reguera,43.5320962,-5.6406025,27,35,503,388,0.992163,False
Calle Carlos Roa Rico,43.5436924,-5.6406004,49,49,463,463,1,False
Camín de Llaréu,43.4816836,-5.6955816,113,113,311,311,1,False
Calle El Molín,43.4618764,-5.1883854,47,47,1628,1628,1,False
Calle La Isla,38.2595034,-0.5222908,47,47,876,876,1,False
Calle El Falucho,43.5631082,-5.9263721,24,31,416,322,0.98638,False
Calle de San Mateo,38.2655289,-1.0194204,57,57,834,834,1,False
Enlace de Olloniego,43.4738811,-5.7400333,102,102,640,640,1,False
Calle Saturno García Fernández,43.3848971,-5.6992428,63,63,167,167,1,False
Calle Mª Xosefa Canellada,43.5357172,-5.8870162,57,57,696,696,1,False
Calle Albandi,43.5601645,-5.754344,37,37,536,536,1,False
Los Aligustres,37.2609865,-6.940548,27,27,123,123,1,False
Calle Silla del Rey,43.3618204,-5.862782,17,26,1259,823,0.991574,False
Camin de Moran,43.5269399,-5.6949099,36,36,97,97,1,False
La Plazoleta,43.545653,-5.6636929,35,35,231,231,1,False
Tránsito de las Ballenas,43.5471192,-5.6658999,33,33,2,2,1,False
Calle La Rimada,43.5305191,-5.7155124,54,54,1118,1118,1,False
Calle Julián Cañedo,43.3544761,-5.8390692,40,40,153,153,1,False
Camino de Estaño,43.5465977,-5.6044744,50,50,458,458,1,False
La Cuesta,43.5379965,-5.5893631,44,44,552,552,1,False
Calle Concejo de Coaña,43.523754,-5.6541765,28,28,258,258,1,False
Polígono Industrial de La Consolación,37.2890512,-7.1505758,73,73,405,405,1,False
Calle Sor Juana Inés de la Cruz,43.5194903,-5.6792073,53,53,1368,1368,1,False
Paseo de Juan Miguel de la Guardia,19.6957715,-99.2248007,23,23,551,551,1,False
Camín del Balcón,43.458737,-5.7560442,100,100,636,636,1,False
Jardines de El Náutico,43.542098,-5.6604849,18,23,397,311,0.975096,False
Calle Isabel Bosquet,43.6188389,-5.7912791,20,20,48,48,1,False
AS-244a Olloniego - Tudela Veguín,43.3252259,-5.7898053,34,34,554,554,1,False
Calle Sor Blanca Argote,43.359092,-5.9151321,41,41,87,87,1,False
Calle del Ave María,43.5263299,-5.6627578,21,29,439,318,0.997521,False
El Elefante Azul,21.1947436,-101.6658558,54,54,1647,1647,1,False
Calle San Nicolás,43.5231572,-5.6705894,53,53,1368,1368,1,False
Calle Torneros,43.5178939,-5.6767127,53,53,1368,1368,1,False
Retonda de Candás,43.537991,-5.6686831,28,28,263,263,1,False
Acceso a la estación de Tremañes,40.4766614,-3.6543403,33,33,151,151,1,False
Carretera Vega - San Román,42.4571089,-6.0169385,49,49,519,519,1,False
Plaza de Riego,43.5399122,-5.6699518,28,28,263,263,1,False
Calle Fructuoso Álvarez,43.5752524,-5.9597511,40,40,721,721,1,False
Carretera del Rayo Mercadín Alto,43.3637768,-5.8271752,21,27,1030,801,0.993498,False
C.M.I. Gijón Sur,43.537807,-5.6959139,20,26,477,367,0.975777,False
